Timespace,AQI,hour,day,month
2025-06-27 16:14:18,84,16,Friday,6
2025-06-27 16:19:16,81,16,Friday,6
2025-06-27 16:28:17,81,16,Friday,6
2025-06-27 16:43:17,81,16,Friday,6
2025-06-27 16:58:19,81,16,Friday,6
2025-06-27 17:13:18,88,17,Friday,6
2025-06-27 17:28:17,89,17,Friday,6
2025-06-27 17:43:16,89,17,Friday,6
2025-06-27 17:58:16,89,17,Friday,6
2025-06-27 18:13:18,119,18,Friday,6
2025-06-27 18:28:17,117,18,Friday,6
2025-06-27 18:43:18,117,18,Friday,6
2025-06-27 18:58:16,117,18,Friday,6
2025-06-27 19:13:18,107,19,Friday,6
2025-06-27 19:28:18,110,19,Friday,6
2025-06-27 19:43:17,110,19,Friday,6
2025-06-27 19:58:17,110,19,Friday,6
2025-06-27 20:13:16,111,20,Friday,6
2025-06-27 20:28:17,115,20,Friday,6
2025-06-27 20:43:17,115,20,Friday,6
2025-06-27 20:58:18,115,20,Friday,6
2025-06-27 21:13:18,115,21,Friday,6
2025-06-27 21:28:19,115,21,Friday,6
2025-06-27 21:43:17,115,21,Friday,6
2025-06-27 21:58:16,115,21,Friday,6
2025-06-27 22:13:16,112,22,Friday,6
2025-06-27 22:28:17,112,22,Friday,6
2025-06-27 22:43:16,112,22,Friday,6
2025-06-27 22:58:20,112,22,Friday,6
2025-06-27 23:13:17,110,23,Friday,6
2025-06-27 23:28:18,111,23,Friday,6
2025-06-27 23:43:17,111,23,Friday,6
2025-06-27 23:58:17,111,23,Friday,6
2025-06-28 00:13:17,116,0,Saturday,6
2025-06-28 00:28:17,123,0,Saturday,6
2025-06-28 00:43:17,123,0,Saturday,6
2025-06-28 00:58:18,123,0,Saturday,6
2025-06-28 01:13:17,107,1,Saturday,6
2025-06-28 01:28:17,123,1,Saturday,6
2025-06-28 01:43:16,123,1,Saturday,6
2025-06-28 01:58:17,123,1,Saturday,6
2025-06-28 02:13:16,119,2,Saturday,6
2025-06-28 02:28:18,116,2,Saturday,6
2025-06-28 02:43:16,116,2,Saturday,6
2025-06-28 02:58:17,116,2,Saturday,6
2025-06-28 03:13:17,128,3,Saturday,6
2025-06-28 03:28:16,128,3,Saturday,6
2025-06-28 03:43:17,128,3,Saturday,6
2025-06-28 03:58:17,128,3,Saturday,6
2025-06-28 04:13:17,119,4,Saturday,6
2025-06-28 04:28:17,115,4,Saturday,6
2025-06-28 04:43:18,115,4,Saturday,6
2025-06-28 04:58:17,115,4,Saturday,6
2025-06-28 05:13:16,102,5,Saturday,6
2025-06-28 05:28:16,110,5,Saturday,6
2025-06-28 05:43:16,110,5,Saturday,6
2025-06-28 05:58:17,110,5,Saturday,6
2025-06-28 06:13:17,122,6,Saturday,6
2025-06-28 06:28:17,132,6,Saturday,6
2025-06-28 06:43:16,132,6,Saturday,6
2025-06-28 06:58:17,132,6,Saturday,6
2025-06-28 07:13:17,94,7,Saturday,6
2025-06-28 07:28:17,117,7,Saturday,6
2025-06-28 07:43:17,117,7,Saturday,6
2025-06-28 07:58:16,117,7,Saturday,6
2025-06-28 08:13:17,92,8,Saturday,6
